country_code,country,area_code,state,GMT_offset,DST,DST_range,geographic_description,tz_code,php_tz
1,'CAN','778','BC','-8','Y','SSM-FSN','British Columbia','PST','America/Vancouver'
1,'USA','779','IL','-6','Y','SSM-FSN','Illinois','CST','America/Chicago'
1,'CAN','780','AB','-7','Y','SSM-FSN','Alberta','MST','America/Edmonton'
1,'USA','781','MA','-5','Y','SSM-FSN','Massachusetts','EST','America/New_York'
1,'CAN','782','NS','-4','Y','SSM-FSN','Nova Scotia','AST','America/Moncton'
1,'VCT','784','','-4','N','','St. Vincent','AST','America/St_Vincent'
1,'USA','785','KS','-6','Y','SSM-FSN','Kansas','CST','America/Chicago'
1,'USA','786','FL','-5','Y','SSM-FSN','Florida','EST','America/New_York'
1,'PRI','787','PR','-4','N','','Puerto Rico','AST','America/Puerto_Rico'
1,'USA','801','UT','-7','Y','SSM-FSN','Utah','MST','America/Denver'
1,'USA','802','VT','-5','Y','SSM-FSN','Vermont','EST','America/New_York'
1,'USA','803','SC','-5','Y','SSM-FSN','South Carolina','EST','America/New_York'
1,'USA','804','VA','-5','Y','SSM-FSN','Virginia','EST','America/New_York'
1,'USA','805','CA','-8','Y','SSM-FSN','California','PST','America/Los_Angeles'
1,'USA','806','TX','-6','Y','SSM-FSN','Texas','CST','America/Chicago'
1,'CAN','807','ON','-5','Y','SSM-FSN','Ontario','EST','America/Toronto'
1,'USA','808','HI','-10','N','','Hawaii','HST','Pacific/Honolulu'
1,'DOM','809','','-4','N','','Dominican Republic','AST','America/Santo_Domingo'
1,'USA','810','MI','-5','Y','SSM-FSN','Michigan','EST','America/New_York'
1,'USA','812','IN','-5','Y','SSM-FSN','Indiana','EST','America/New_York'
1,'USA','813','FL','-5','Y','SSM-FSN','Florida','EST','America/New_York'
1,'USA','814','PA','-5','Y','SSM-FSN','Pennsylvania','EST','America/New_York'
1,'USA','815','IL','-6','Y','SSM-FSN','Illinois','CST','America/Chicago'
1,'USA','816','MO','-6','Y','SSM-FSN','Missouri','CST','America/Chicago'
1,'USA','817','TX','-6','Y','SSM-FSN','Texas','CST','America/Chicago'
1,'USA','818','CA','-8','Y','SSM-FSN','California','PST','America/Los_Angeles'
1,'CAN','819','QC','-5','Y','SSM-FSN','Quebec','EST','America/Toronto'
1,'USA','820','CA','-8','Y','SSM-FSN','California','PST','America/Los_Angeles'
1,'USA','821','SC','-5','Y','SSM-FSN','South Carolina','EST','America/New_York'
1,'CAN','825','AB','-7','Y','SSM-FSN','Alberta','MST','America/Edmonton'
1,'USA','826','VA','-5','Y','SSM-FSN','Virginia','EST','America/New_York'
1,'USA','828','NC','-5','Y','SSM-FSN','North Carolina','EST','America/New_York'
1,'DOM','829','','-4','N','','Dominican Republic','AST','America/Santo_Domingo'
1,'USA','830','TX','-6','Y','SSM-FSN','Texas','CST','America/Chicago'
1,'USA','831','CA','-8','Y','SSM-FSN','California','PST','America/Los_Angeles'
1,'USA','832','TX','-6','Y','SSM-FSN','Texas','CST','America/Chicago'
1,'USA','835','PA','-5','Y','SSM-FSN','Pennsylvania','EST','America/New_York'
1,'USA','837','CA','-8','Y','SSM-FSN','California','PST','America/Los_Angeles'
1,'USA','838','NY','-5','Y','SSM-FSN','New York','EST','America/New_York'
1,'USA','839','SC','-5','Y','SSM-FSN','South Carolina','EST','America/New_York'
1,'USA','840','CA','-8','Y','SSM-FSN','California','PST','America/Los_Angeles'
1,'USA','843','SC','-5','Y','SSM-FSN','South Carolina','EST','America/New_York'
1,'USA','845','NY','-5','Y','SSM-FSN','New York','EST','America/New_York'
1,'USA','847','IL','-6','Y','SSM-FSN','Illinois','CST','America/Chicago'
1,'USA','848','NJ','-5','Y','SSM-FSN','New Jersey','EST','America/New_York'
